z_bin,std_noK,std_K,slope_noK,slope_K
overall,1.0598346721694591,1.0653111162942561,-1.3711335611800084,-1.0345899047219804
2.3-2.4,1.0457326307300046,1.0572313169116023,-1.077120624760074,-0.9954607875787057
2.4-2.5,1.0427827753985877,1.0514728413491408,-0.9642535849172064,-0.7387119453770564
2.5-2.6,1.0472484414480285,1.0547332888522096,-1.3709379492816538,-1.136242076436498
2.6-2.8,1.0386423260614124,1.0588729879754004,-1.3688907098811003,-0.9594089734227257
