TARGETID,K_R,K_R_ERR,Z
39627621994073662,,inf,2.7141032760552566
39627621998265563,,inf,2.648264671275986
39627628008709796,,inf,2.7716741529821265
39627627996123761,,inf,2.6409563824481794
39627676113181386,,inf,2.311334231394144
39627621952134940,,inf,2.347109774128807
39627633956225848,,inf,2.7323086896020543
39627633947842643,,inf,2.6042466186319873
39627645972913277,,inf,2.3092124938793566
39627633985587692,,inf,2.482715052900636
39627676331280524,,inf,2.6714052326145796
39627610254215325,,inf,2.5312391279636803
39627568407643594,,inf,2.31616887335787
39627568403450270,,inf,2.633927700754066
39627580369798351,,inf,2.3977942501700897
39627580382383115,,inf,2.3735188071296314
39627586359267067,,inf,2.531791911679107
39627658388049972,,inf,2.4003402774514835
39627742769055120,,inf,2.373954548393308
39628164535681249,,inf,2.6910340782772044
39628164535684345,,inf,2.7714480770292433
39628170353182260,,inf,2.6347791511892282
39628158705603506,,inf,2.6976199917266257
39628152883906608,,inf,2.770554928397216
39628147045435324,,inf,2.5191728846094383
39628170348991474,,inf,2.7989965264110457
39628152879710714,,inf,2.6836020606136874
39628176258761842,,inf,2.467408032892297
39628141341184533,,inf,2.3700126675832847
39628141345374558,,inf,2.4506527797262976
39628141336990201,,inf,2.607678839861009
39628141341184841,,inf,2.4458105058177364
39628141332794264,,inf,2.5621255171712973
39628147162877630,,inf,2.4605415707693177
39636937417427506,,inf,2.348913765295442
39628141328600247,,inf,2.375237025243398
39636937417429678,,inf,2.6909366158953105
39628141328599328,,inf,2.576879638367024
39628141336988642,,inf,2.331030472285689
39636937417429369,,inf,2.365357882602773
39628170508373328,,inf,2.7287633082044533
39628112052355877,,inf,2.447488470330338
39628070713296221,,inf,2.5088231046476053
39627957492253995,,inf,2.3747645858507416
39628029080636839,,inf,2.3096234519261376
39627975410321283,,inf,2.487622054513943
39628123905459816,,inf,2.4620865695098995
39628118037629210,,inf,2.5976681638698187
39628123913850546,,inf,2.4428876491979574
39628129781681919,,inf,2.4015812723360916
39628135645319850,,inf,2.36660338351016
39628088618783706,,inf,2.3509905343569586
39627576871749647,,inf,2.3082457755914247
39627582848632590,,inf,2.6139450191426614
39627576867553656,,inf,2.3927574716111577
39627606802305341,,inf,2.4673946066545125
39627606806496159,,inf,2.444171069073534
39627594810787384,,inf,2.5172989782874695
39627588825516667,,inf,2.5805034217608176
39627588829709126,,inf,2.3750388362977017
39627582848631801,,inf,2.306048741122869
39627582844437407,,inf,2.476312715254411
39627594814980296,,inf,2.611424012866046
39627654889997072,,inf,2.793176377253463
39627678956913569,,inf,2.5072482838937384
39627715132784762,,inf,2.4048030591630454
39627715254425143,,inf,2.6003473105419377
39627697168584919,,inf,2.4416951046975397
39628188170589031,,inf,2.604152983281861
39628176602694483,,inf,2.527728582255054
39628170856501346,,inf,2.612297906807233
39628182344700827,,inf,2.39151677149295
39628106490711956,,inf,2.614372750154712
39628053239825160,,inf,2.6205737684067736
39628053210467516,,inf,2.775979808848003
39627897471763557,,inf,2.5788106754087847
39627867331495372,,inf,2.4561071231136213
39627837178643651,,inf,2.508961357200845
39627837182837633,,inf,2.530513158807092
39627939758741982,,inf,2.6176769561482214
39627951762834486,,inf,2.5825357251197825
39627951758640864,,inf,2.3699423805541477
39627951758644335,,inf,2.591576868031259
39627957773272082,,inf,2.3961796554904784
39627957773276772,,inf,2.698779761882394
39627963775324666,,inf,2.611421631665767
39627975750064291,,inf,2.5743368464646457
39627963754352988,,inf,2.3016047740101384
39627969752205088,,inf,2.3658018878170397
39627969752207656,,inf,2.4119625183689792
39627969752205054,,inf,2.398869260297292
39627969752207505,,inf,2.4930745102998126
39627975750060911,,inf,2.6194882400342765
39627969756402272,,inf,2.5353589574421522
39627975750061123,,inf,2.3323554766969954
39627975750060601,,inf,2.34157513385659
39627975758447021,,inf,2.407384770884457
39627963771127227,,inf,2.6622242167943106
39627963758546032,,inf,2.4015237490516
39627969764790759,,inf,2.3907163856460336
39627969756402124,,inf,2.3218278237237073
39627981735333515,,inf,2.4735672024694857
39627969760593786,,inf,2.740961621785701
39627975754253605,,inf,2.3527102646169435
39627975754255300,,inf,2.5381254875956607
39627975750065864,,inf,2.4444568947794307
39627975745868200,,inf,2.4685597097204415
39627969756400063,,inf,2.379129942555375
39627903679337543,,inf,2.479607387788723
39627999728900723,,inf,2.553847373378444
39627981785670471,,inf,2.3594592257318325
39627999733091315,,inf,2.5396245661600236
39628164921562840,,inf,2.730371213387062
39628124022899118,,inf,2.5247996843731775
39628051889259327,,inf,2.371285298440535
39628134479302727,,inf,2.689045378107381
39628134479303349,,inf,2.4806046275683915
39628146185602830,,inf,2.3387114756601703
39628134487691606,,inf,2.693971121691539
39628134483495009,,inf,2.708790973188183
39628146181412480,,inf,2.5166690192298686
39628146177216512,,inf,2.366271192217464
39628140338745512,,inf,2.46386600818999
39628140338744395,,inf,2.6596728084318872
39628134483495582,,inf,2.7736527863546647
39628146181409839,,inf,2.5862124700845053
39628152028267418,,inf,2.468403128807699
39628152028269090,,inf,2.3568361342363806
39628181098993354,,inf,2.449649100897148
39628116812891024,,inf,2.482989020679637
39628116791919066,,inf,2.4179316710512744
39628134391220701,,inf,2.4515914086571278
39628022071953259,,inf,2.7573574361437356
39628028019474908,,inf,2.626061153161829
39628033979581907,,inf,2.5356141153040808
39628039931299676,,inf,2.3889366505836858
39628033983775335,,inf,2.654533097447029
39628022071953395,,inf,2.7118969748213546
39628039927104301,,inf,2.547960577066722
39628045874629066,,inf,2.360715597016492
39628033971194934,,inf,2.4267537573058893
39628022067758669,,inf,2.483138919205151
39628033971195446,,inf,2.327277849697276
39628033971193642,,inf,2.4238805796515144
39627854014578792,,inf,2.3894099081697893
39627829901527974,,inf,2.5018524756882647
39627829893140150,,inf,2.3470515453397796
39627823853340626,,inf,2.594429795881442
39627823844954669,,inf,2.448890259570722
39627817809347585,,inf,2.4614914677189037
39627829960247700,,inf,2.4899871659714847
39627860163429890,,inf,2.4176052859158954
39627872243025233,,inf,2.5229721032301784
39628157904487130,,inf,2.699998989406381
39628152078601848,,inf,2.4148500932045227
39627908230152845,,inf,2.3982074998198666
