file,z,zmin,zmax,m0_16,m0_50,m0_84,b_16,b_50,b_84,alpha_16,alpha_50,alpha_84,beta_16,beta_50,beta_84,log10_Nphi_16,log10_Nphi_50,log10_Nphi_84,log10_Lstar_16,log10_Lstar_50,log10_Lstar_84
y3_bin1_z2.3-2.4.npz,2.3499999999999996,2.3,2.4,22.477998744687845,22.696939578671508,22.87802341174897,1.5465853691893932,1.7087760358240052,1.935409748967019,-1.549100246789985,-1.4445947110426793,-1.3488825601379928,-3.3412378391486897,-3.2264990837534713,-3.124552308737175,3.741585045505285,3.8317473915880877,3.9093940128200826,46.05611219812789,46.119631520164596,46.18837362129789
y3_bin2_z2.4-2.5.npz,2.45,2.4,2.5,22.05786401877956,22.245587675117143,22.436491876657847,1.556244602991553,1.631781419261787,1.7297492631448597,-1.7679086555691752,-1.6691021849273615,-1.5693608316547702,-3.7172361227969772,-3.5451353908683547,-3.393579840071034,3.4353352745435504,3.549312258255707,3.656385796714587,46.25188263078892,46.3257311701706,46.399328397270274
y3_bin3_z2.5-2.6.npz,2.55,2.5,2.6,22.295134241255987,22.507045737581002,22.70224075644683,1.5855428221317818,1.7170324223591393,1.9024564242852895,-1.5960949187826294,-1.4896764783752212,-1.3833323550681147,-3.4954327339092313,-3.35518777340475,-3.2272897049488165,3.5635095759332143,3.661984936109962,3.751349390303039,46.17510108330907,46.24475837457801,46.31510825128845
y3_bin4_z2.6-2.8.npz,2.7,2.6,2.8,22.359384563142534,22.471105076436345,22.577312735775994,1.929393740602338,2.0367035281431383,2.169482408882771,-1.472436370016952,-1.3959442254680636,-1.319905531990906,-3.3525125326854988,-3.2570758233858124,-3.1702179049608152,3.885760011459864,3.953435178258127,4.015891232247399,46.17225161351969,46.22346475313839,46.275522259546534
