z_bin,std_noK,std_K,slope_noK,slope_K
overall,1.059143012171507,,-1.3661392731896103,
2.3-2.4,1.044463448365878,,-1.0715461119197083,
2.4-2.5,1.0420381018955363,,-0.9792105520080271,
2.5-2.6,1.046985831106287,,-1.3826084626012696,
2.6-2.8,1.038635137418804,,-1.3702329874751003,
