file,zmin,zmax,zc,m0,m0_em,m0_ep,b,b_em,b_ep,alpha,alpha_em,alpha_ep,beta,beta_em,beta_ep,log10_Nphi,log10_Nphi_em,log10_Nphi_ep,log10_Lstar,log10_Lstar_em,log10_Lstar_ep
y3_bin1_z2.3-2.4.npz,2.3,2.4,2.3499999999999996,22.696939578671508,0.2189408339836625,0.18108383307746223,1.7087760358240052,0.162190666634612,0.22663371314301384,-1.4445947110426793,0.1045055357473057,0.09571215090468654,-3.2264990837534713,0.11473875539521838,0.10194677501629634,3.8317473915880877,0.09016234608280271,0.07764662123199484,46.119631520164596,0.0635193220367043,0.06874210113329582
y3_bin2_z2.4-2.5.npz,2.4,2.5,2.45,22.245587675117143,0.1877236563375817,0.19090420154070387,1.631781419261787,0.0755368162702339,0.09796784388307267,-1.6691021849273615,0.09880647064181369,0.09974135327259126,-3.5451353908683547,0.17210073192862252,0.15155555079732075,3.549312258255707,0.1139769837121567,0.1070735384588799,46.3257311701706,0.07384853938167879,0.07359722709967542
y3_bin3_z2.5-2.6.npz,2.5,2.6,2.55,22.507045737581002,0.2119114963250155,0.19519501886582802,1.7170324223591393,0.13148960022735756,0.18542400192615016,-1.4896764783752212,0.10641844040740822,0.10634412330710652,-3.35518777340475,0.14024496050448132,0.12789806845593343,3.661984936109962,0.09847536017674763,0.08936445419307715,46.24475837457801,0.06965729126893905,0.0703498767104378
y3_bin4_z2.6-2.8.npz,2.6,2.8,2.7,22.471105076436345,0.11172051329381105,0.10620765933964904,2.0367035281431383,0.10730978754080023,0.13277888073963284,-1.3959442254680636,0.07649214454888842,0.07603869347715753,-3.2570758233858124,0.0954367092996864,0.08685791842499713,3.953435178258127,0.06767516679826313,0.06245605398927179,46.22346475313839,0.05121313961869589,0.05205750640814699
