Targetid,mag_g,magerr_g,mag_r,magerr_r,mag_i,magerr_i
39628328801403213,21.188934,-0.01878376195619489,20.906288,-0.018026399316652297,20.430489,-0.05538099160368226
39628328801403851,20.656643,-0.011761204892860689,20.093964,-0.008274233880921984,19.799158,-0.025253045847621197
39628334316913162,19.578598,-0.004426569734103681,19.332222,-0.003909475226645365,19.098495,-0.013885927991930629
39628334316915643,20.370028,-0.008776559261834026,19.924732,-0.00647638004205269,19.91708,-0.025254527054918142
39628334316916295,19.600805,-0.0045260173339623355,19.497778,-0.004471410590269063,19.340805,-0.017329497671829834
39628334329495858,20.8712,-0.013057802490364031,20.746803,-0.013956664836545113,20.711864,-0.05357344436666637
39628334333691739,21.066528,-0.015209919504202116,20.872553,-0.01472590411049608,20.736788,-0.05599038633531895
39628334342081194,21.180904,-0.017901167997125506,20.534279,-0.0116429285476034,20.296597,-0.03528222857326086
39628334346274249,20.16367,-0.00766474129207865,20.213776,-0.008859177486535082,20.339794,-0.042076319095234745
39628334346275667,21.230244,-0.020515508059170143,20.867998,-0.015602972997517898,20.734243,-0.06177043844385667
39628334350468069,20.778244,-0.012169226710789856,20.270958,-0.008730804596813089,20.115498,-0.029812658923356272
39628334354662013,21.115856,-0.016419991448407487,20.741941,-0.01365655917795617,20.448483,-0.05175559481150757
39628334363053388,20.283567,-0.009071730302833488,19.904366,-0.007457562610946808,19.781538,-0.02653570596185661
39628334367248450,19.75371,-0.005709335922724104,19.574217,-0.0053564852222270695,19.686682,-0.02448990722981991
39628334375633543,20.699173,-0.012103628733757468,20.272144,-0.009793347486995011,20.180151,-0.0354038923031886
39628334379827391,20.914387,-0.014809601200969507,20.667952,-0.015135433052997842,20.43328,-0.04366980593449491
39628334379829810,19.22343,-0.0035497953860406835,19.2596,-0.004053710079692701,19.329065,-0.01884786171911332
39628339870173826,20.32135,-0.008373949231751747,19.982283,-0.006829293096710305,19.81881,-0.02391470249095632
39628339870174330,21.6408,-0.062408579163862624,21.401958,-0.0528364139607187,21.002092,-0.14649084010602786
39628339882758264,20.986393,-0.01382598922127605,20.738045,-0.012608322722521692,20.63259,-0.07094381226685291
39628339886948493,20.57313,-0.009953699663799826,20.267103,-0.008686013793112134,19.842817,-0.024960573519065665
39628339899532745,21.849413,-0.1827859454665799,21.153194,-0.02365660815559556,20.856403,-0.10108638221561819
39628339907922319,21.07559,-0.015404980863801973,20.84918,-0.01543613827750411,20.41896,-0.04057481638971071
39628339916312925,19.9523,-0.005988191922011501,19.798016,-0.005976106878132967,19.614155,-0.022084285081859268
39628339920503520,20.75185,-0.01236958895376721,20.334303,-0.009346755346516005,20.334229,-0.03660676413399995
39628339920503640,21.560947,-0.044857431943372966,21.335587,-0.058924034235748136,21.049274,-0.22011243450311238
39628339920503853,21.574642,-0.041027799457792155,21.196213,-0.02733510468866965,20.800474,-0.1436947583190945
39628339920504190,20.254211,-0.007932234953136144,20.291996,-0.009411639863115159,20.485321,-0.051646391262481064
39628339920505072,21.345905,-0.02285897324212496,21.058443,-0.0226673115891275,20.609053,-0.0678816444276169
39628339928896105,19.618734,-0.004923540954857453,19.367134,-0.004465367806574351,19.199509,-0.016735015270149468
39628339933089362,19.363058,-0.004017268769879397,19.17794,-0.0037945414790439193,19.013811,-0.014249362160422085
39628345410848040,21.395758,-0.024118382934576802,21.106386,-0.02082973220755002,20.760876,-0.06451606685857054
39628345410849214,21.627825,-0.052490345876241726,21.226835,-0.03323946988708917,20.80183,-0.19486535771977576
39628345440209572,21.439018,-0.03133907837597345,21.262753,-0.029054426114180968,20.751955,-0.19536721616239341
39628345444402534,21.563183,-0.05153909646384697,21.384277,-0.04227903153193242,20.97067,-0.14849270307040305
39628345448596221,21.157484,-0.019915628446063816,21.082067,-0.019888109286498052,20.733093,-0.13733783445878658
39628345448596337,21.424482,-0.02581635912710948,21.111147,-0.020936857457308576,20.333584,-0.17446024045104763
39628345452794362,20.804644,-0.012555236627426063,20.496454,-0.010814351962913677,20.653214,-0.058661677163703366
39628345461179893,21.082775,-0.016420891513283565,20.70023,-0.013786814305427341,20.436409,-0.044045032885890394
39628345461180966,21.20686,-0.018085384519214733,21.050825,-0.019059676249733197,20.853,-0.11939683494590016
39628345469568265,19.58677,-0.008085407620340906,19.43966,-0.00828034470478978,19.421743,-0.0829215120035774
39628345473761399,21.455729,-0.034913966282448805,20.911047,-0.01848469632576723,20.568888,-0.05952893128524587
39628350943135766,21.175495,-0.021865159303802218,21.04842,-0.020437696019997623,20.603315,-0.05115622277492809
39628350943137105,20.973387,-0.014176751162052885,20.654165,-0.012427225728007658,20.70245,-0.06677627902694912
39628350951522379,21.361069,-0.025154069175467936,21.264227,-0.030080244716922985,20.926476,-0.14380554697675849
39628350951527006,21.122454,-0.016268272020330272,20.801834,-0.01441788345570975,20.7711,-0.068687251302648
39628350955720953,20.212269,-0.007416206295951108,20.213034,-0.008115909331725473,19.919643,-0.02514633021815325
39628350980887754,21.141598,-0.01775157758242239,20.723402,-0.013133033002121427,20.60314,-0.05649691904453831
39628350993465736,20.738117,-0.012371468983926385,20.343752,-0.009831724798341901,20.27552,-0.03372977148870082
39628350993466764,20.469193,-0.009654117350968909,20.453703,-0.010631322870007405,20.26141,-0.032915055491572066
39628350993466786,21.19572,-0.018335491040712436,20.911533,-0.016880098514178477,20.797249,-0.07714372657218811
